invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-26419300012,4/9/2020,4368,KUM & GO #570 / JOHNSTON,5800 NORTHGLEN DR,JOHNSTON,50131.0,POINT(-93.698308 41.682764),77,POLK,1082000.0,IMPORTED CORDIALS & LIQUEURS,192,"MAST-JAGERMEISTER US, INC",65259,JAGERMEISTER LIQUEUR MINI MEISTERS,12,20,4.93,7.4,1,7.4,0.02,0
INV-40279300030,9/21/2021,5715,RAYSMARKET,3452 LAFAYETTE ROAD,EVANSDALE,50707.0,POINT(-92.291731 42.478437),7,BLACK HAWK,1071100.0,COCKTAILS/RTD,557,"WORLDWIDE LIBATIONS, LLC",100280,THE BITTER TRUTH COCKTAIL BAR PACK,12,20,9.5,14.25,1,14.25,0.02,0
INV-27187200014,5/12/2020,4648,PRIME MART / BROADWAY WATERLOO,508 BROADWAY ST,WATERLOO,50703.0,POINT(-92.345104 42.510573),7,BLACK HAWK,1701100.0,TEMPORARY & SPECIALTY PACKAGES,35.0,BACARDI USA INC,266,PATRON SILVER SPECIAL TIN,12,750,27.5,41.25,24,990,18,4.75
INV-35510000026,4/2/2021,4136,FAREWAY STORES #983 / GRIMES,351 GATEWAY DR,GRIMES,50111.0,,77,POLK,1700000.0,TEMPORARY & SPECIALTY PACKAGES,65.0,JIM BEAM BRANDS,522,MAKERS MARK W/HOLIDAY ORNAMENT,6,750,17.5,26.25,24,630,18,4.75
INV-54121900001,12/19/2022,2647,HY-VEE #7 / CEDAR RAPIDS,5050 EDGEWOOD RD,CEDAR RAPIDS,52411,POINT(-91.7014 42.03062),,LINN,1701100.0,TEMPORARY & SPECIALTY PACKAGES,259,HEAVEN HILL BRANDS,2229,CHRISTIAN BROS HOLIDAY NOG,12,750,4.5,6.75,24,162,18,4.75
INV-42231700008,11/22/2021,2635,HY-VEE #4 / DAVENPORT,4064 E 53RD ST,DAVENPORT,52807.0,POINT(-90.513769 41.574973),82,SCOTT,1012200.0,SCOTCH WHISKIES,370,PERNOD RICARD USA,4716,CHIVAS REGAL 12YR,12,750,19.49,29.24,24,701.76,18,4.75
INV-24595700067,1/16/2020,2633,HY-VEE #3 / BDI / DES MOINES,3221 SE 14TH ST,DES MOINES,50320.0,POINT(-93.596754 41.554101),77,POLK,1012300.0,SINGLE MALT SCOTCH,240.0,WILLIAM GRANT & SONS INC,5006,GLENFIDDICH 12YR SPECIAL RESERVE,12,750,26,39,24,864,18,4.75
INV-30781400002,10/6/2020,2665,HY-VEE / WAUKEE,1005 E HICKMAN RD,WAUKEE,50263.0,POINT(-93.854477 41.615059),25,DALLAS,1012300.0,SINGLE MALT SCOTCH,370.0,PERNOD RICARD USA,5153,GLENLIVET FOUNDERS RESERVE,12,750,20.98,31.47,24,755.28,18,4.75
INV-48590600003,6/22/2022,3628,WAL-MART 1528 / CEDAR RAPIDS,2645 BLAIRS FERRY RD NE,CEDAR RAPIDS,52402.0,POINT(-91.681997 42.034753),57,LINN,1012200.0,SCOTCH WHISKIES,260,DIAGEO AMERICAS,5326,JOHNNIE WALKER BLACK,12,750,21.99,32.99,24,773.76,18,4.75
INV-50126800001,8/8/2022,2614,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,1823 E KIMBERLY RD,DAVENPORT,52807.0,POINT(-90.548919 41.556781),,SCOTT,1012200.0,SCOTCH WHISKIES,260,DIAGEO AMERICAS,5346,JOHNNIE WALKER RED,12,750,13.5,20.25,24,486,18,4.75
